Origin,Destination,Vehicle Type,Distance (km),Weather Conditions,Traffic Conditions,Shipment_Duration,Actual_Duration
8,7,0,1193,0,1,3,3
7,3,2,1454,2,1,4,5
2,1,1,1368,0,1,4,4
4,2,0,1252,1,2,4,7
0,3,2,1232,0,0,4,6
1,6,3,1713,0,2,5,6
7,1,1,791,0,2,2,6
9,6,3,213,0,2,1,2
6,4,3,638,2,2,2,4
6,7,0,594,0,1,1,1
5,2,2,1747,0,1,5,5
2,9,3,1969,0,1,6,11
3,9,0,1020,0,1,3,3
8,6,3,1212,0,1,4,7
2,3,1,611,0,2,2,3
3,4,1,1003,2,0,3,6
7,3,0,1895,3,1,6,12
5,1,3,809,2,2,2,4
2,7,2,1332,1,1,4,9
7,1,3,239,1,1,1,3
7,9,1,871,0,1,2,2
6,1,0,1372,0,1,4,4
6,3,1,778,0,1,2,2
1,3,2,248,2,1,1,2
3,0,0,951,0,2,3,4
2,6,2,1201,2,2,4,6
8,0,2,1705,0,2,5,6
1,5,1,1800,0,1,6,10
0,1,0,1672,0,2,5,6
2,4,0,930,0,1,3,3
1,2,2,1328,2,2,4,6
4,5,0,966,1,2,3,6
5,2,3,1433,0,2,4,5
3,2,0,661,0,2,2,3
8,1,1,1905,0,1,6,8
2,6,1,617,2,1,2,3
4,1,0,255,0,1,1,3
7,4,3,1496,1,1,4,6
0,1,1,1010,0,2,3,9
8,9,2,287,0,2,1,2
7,5,0,1163,0,2,3,4
9,0,1,1795,0,1,5,5
4,0,2,617,0,1,2,2
3,2,1,760,0,2,2,3
2,6,3,1004,0,2,3,4
9,7,3,1602,0,1,5,5
3,0,0,1256,1,1,4,6
3,4,1,1575,2,2,5,9
5,3,1,375,1,2,1,4
0,7,3,1177,0,2,3,6
9,1,0,913,0,2,3,4
4,6,2,890,0,1,2,2
7,1,2,1922,0,1,6,6
9,7,0,781,0,1,2,2
4,7,1,942,0,0,3,5
2,5,3,1617,0,2,5,6
1,0,1,1341,1,0,4,8
6,3,2,914,0,2,3,4
2,8,2,962,0,1,3,8
5,9,0,1852,0,0,6,11
4,1,0,640,0,1,2,2
9,2,3,1773,0,1,5,5
1,3,3,911,3,2,3,7
1,9,1,1552,0,1,5,5
6,0,2,1295,0,2,4,5
7,0,1,547,1,2,1,4
8,7,3,1042,3,1,3,11
2,1,2,1406,0,2,4,9
1,0,1,780,0,1,2,2
0,1,2,1837,0,0,6,11
5,0,3,632,0,1,2,2
0,1,1,985,1,0,3,7
3,7,0,438,0,2,1,2
1,4,0,421,2,1,1,4
4,3,3,1220,0,1,4,4
9,6,3,1769,2,2,5,10
3,2,3,289,0,1,1,1
2,5,1,810,0,0,2,8
0,4,1,1870,0,2,6,7
7,1,2,1120,1,2,3,6
3,5,3,1960,3,2,6,10
8,4,3,1893,2,1,6,11
5,6,0,1688,0,1,5,5
8,5,0,268,0,0,1,3
8,0,2,328,0,1,1,1
3,2,0,1066,2,1,3,4
8,4,3,1028,0,2,3,4
7,1,1,1005,2,1,3,4
4,7,2,466,0,2,1,2
1,8,3,1266,0,2,4,5
2,3,3,1009,0,2,3,4
1,9,0,1571,0,2,5,6
5,9,1,1158,0,0,3,9
4,2,3,365,0,2,1,5
5,1,2,636,1,1,2,4
5,6,0,1853,0,1,6,9
0,8,3,1350,0,2,4,5
5,9,0,1261,0,0,4,8
4,7,2,502,0,1,1,1
3,2,0,484,0,2,1,2
0,8,2,1729,2,1,5,8
1,5,0,799,0,1,2,2
6,7,2,203,0,1,1,1
6,7,2,1790,1,1,5,7
8,6,2,1510,0,0,5,12
9,5,3,1815,0,2,6,7
5,2,3,1383,3,2,4,12
7,4,1,1479,0,1,4,4
8,9,3,732,1,2,2,5
7,1,3,610,0,2,2,3
9,0,1,988,1,0,3,7
2,6,0,859,0,2,2,3
7,4,0,1861,0,2,6,12
7,9,3,1946,0,2,6,7
6,2,1,237,1,0,1,5
9,4,2,1432,0,1,4,7
8,1,3,1162,2,1,3,9
9,4,2,1871,0,1,6,8
0,9,2,1837,2,1,6,7
8,2,2,579,0,2,1,2
5,2,0,517,0,0,1,3
1,3,2,820,1,0,2,6
2,5,0,999,0,1,3,3
3,9,3,1932,1,1,6,8
6,5,3,1456,0,1,4,4
8,7,0,1249,0,0,4,6
6,5,2,1922,2,0,6,9
8,4,3,1524,0,1,5,5
3,5,1,1638,0,1,5,10
9,3,2,478,2,0,1,4
5,9,3,1102,0,0,3,5
4,8,3,786,0,2,2,3
8,7,3,1056,0,1,3,3
1,0,1,935,0,1,3,3
8,4,3,549,0,1,1,1
8,0,3,1974,3,2,6,10
9,8,2,642,2,2,2,7
2,0,3,517,0,2,1,2
0,7,3,1842,0,2,6,7
3,2,0,1149,0,0,3,5
2,9,1,1681,0,2,5,9
1,7,0,651,1,1,2,6
6,4,3,1621,3,0,5,10
1,3,1,261,0,1,1,1
4,2,0,805,0,1,2,4
5,7,3,1207,0,2,4,5
3,4,2,393,0,1,1,4
1,4,2,2000,0,1,6,6
1,2,2,1801,0,1,6,9
0,5,3,745,0,2,2,3
8,5,0,777,0,2,2,8
6,5,3,1623,2,1,5,6
3,2,2,953,0,1,3,3
7,1,2,1495,0,1,4,4
8,9,0,803,0,2,2,6
4,2,2,735,0,0,2,9
9,2,3,508,0,1,1,1
8,0,0,679,1,1,2,4
3,5,0,1695,0,1,5,5
7,3,2,1511,0,1,5,5
9,7,1,300,0,1,1,1
6,0,0,1924,0,2,6,7
0,6,3,580,0,2,1,2
2,6,3,1710,2,1,5,6
9,4,1,1666,0,2,5,6
9,5,0,1368,2,1,4,10
6,3,1,766,0,0,2,4
4,0,0,1735,0,2,5,6
9,1,1,1191,0,2,3,7
3,1,2,218,2,1,1,2
9,8,1,526,0,1,1,3
3,5,2,1561,2,2,5,9
0,8,1,1319,0,0,4,6
0,1,1,1916,0,2,6,7
6,3,1,1967,0,0,6,8
2,5,1,621,0,1,2,2
4,7,1,1614,3,1,5,8
2,5,2,1623,3,1,5,8
6,3,0,1173,2,0,3,6
2,4,2,922,0,2,3,7
5,2,1,345,1,1,1,3
1,7,2,1794,0,1,5,9
7,3,3,1640,2,1,5,6
9,3,3,223,2,2,1,3
6,5,3,657,0,1,2,5
1,8,0,1944,0,0,6,8
7,9,1,602,2,2,2,4
4,3,1,1217,0,1,4,6
9,7,3,1161,0,1,3,3
3,1,3,590,0,2,1,2
2,3,2,1677,2,1,5,10
4,0,2,1243,0,1,4,4
3,5,3,774,0,2,2,6
8,7,0,1226,2,1,4,5
5,0,0,205,2,1,1,7
8,2,1,1570,2,2,5,12
1,4,2,1583,2,1,5,6
4,5,2,1798,0,1,5,5
5,1,0,1402,1,2,4,12
4,8,0,2000,0,2,6,7
9,5,1,1748,0,0,5,7
7,4,2,1104,0,2,3,9
4,7,1,1768,2,1,5,6
9,6,3,649,0,2,2,3
8,6,3,1656,0,1,5,5
5,6,0,600,0,2,2,3
3,5,2,1695,1,1,5,9
8,5,0,1903,2,1,6,7
8,7,3,1566,0,1,5,5
6,1,1,1545,0,2,5,8
3,5,1,460,0,1,1,1
4,8,3,594,0,1,1,1
8,6,1,215,2,1,1,2
8,0,0,1443,1,1,4,6
6,0,3,1242,0,1,4,4
0,6,0,962,0,0,3,5
2,9,1,523,0,1,1,4
7,8,2,233,0,1,1,3
8,9,1,1037,0,1,3,8
8,2,3,286,1,0,1,5
4,9,1,658,0,2,2,3
5,7,0,336,1,0,1,5
9,7,1,1526,0,1,5,5
2,7,1,1412,0,2,4,5
3,8,0,1765,2,1,5,6
7,2,2,1797,0,2,5,10
8,7,1,1533,0,2,5,6
6,9,2,1239,1,1,4,6
4,9,1,627,2,2,2,4
6,3,3,1356,0,2,4,5
9,1,3,1593,0,2,5,6
9,1,0,1257,0,2,4,5
6,3,0,326,0,2,1,2
8,4,0,483,0,1,1,1
3,7,1,1811,0,2,6,9
0,7,1,201,2,1,1,5
5,7,0,949,0,2,3,4
3,6,3,884,0,1,2,2
4,5,0,1785,0,0,5,7
3,4,1,1131,0,2,3,4
2,1,3,1368,0,1,4,4
6,4,0,668,0,0,2,4
1,4,0,1284,0,2,4,5
4,0,1,289,0,2,1,2
6,3,1,1988,2,0,6,9
0,7,2,519,0,1,1,1
1,3,3,539,0,2,1,7
3,5,0,1775,0,1,5,7
5,8,3,1285,0,1,4,4
5,7,0,1642,1,1,5,7
7,4,2,817,0,1,2,2
5,3,2,450,3,1,1,4
1,0,1,1471,0,1,4,7
0,9,2,1504,0,1,5,5
1,4,3,1942,0,1,6,8
2,8,2,865,0,0,2,4
7,2,3,501,3,0,1,6
3,7,3,946,1,2,3,11
2,9,0,238,0,1,1,1
5,3,2,566,0,1,1,1
6,1,3,257,1,2,1,4
4,8,1,971,0,1,3,8
7,0,1,1067,3,1,3,6
2,8,1,1407,0,1,4,4
5,7,2,660,0,0,2,4
0,6,0,804,2,1,2,3
9,5,2,535,0,1,1,3
4,0,1,283,2,2,1,3
7,9,2,635,0,0,2,4
6,2,3,1765,0,1,5,5
3,1,2,770,0,0,2,4
8,5,0,1945,1,2,6,9
2,4,0,488,0,2,1,2
3,7,2,766,0,0,2,4
2,0,1,1347,0,2,4,5
3,8,1,522,3,1,1,4
2,5,3,1073,2,1,3,9
2,5,2,956,0,1,3,6
7,6,2,613,3,1,5,2
4,3,1,239,1,1,1,3
9,8,0,1703,0,2,5,6
3,7,3,1742,0,1,5,9
0,4,2,1438,0,1,4,4
7,2,2,1464,0,1,4,4
1,7,0,1381,1,0,4,8
3,8,3,1669,0,2,5,6
2,1,3,1946,3,2,6,14
9,0,2,1720,0,2,5,6
4,2,2,1859,0,1,6,6
1,6,0,1549,0,0,5,10
6,8,0,1001,1,1,3,5
7,9,3,1345,0,2,4,5
1,2,2,1914,2,1,6,7
3,1,1,656,3,1,2,5
6,3,0,1875,2,2,6,8
3,4,0,580,0,1,1,1
9,1,1,1774,3,2,5,9
7,8,1,967,0,1,3,3
2,7,3,1745,0,1,5,5
3,5,3,790,0,0,2,8
2,3,3,1378,2,0,4,7
6,9,3,1200,2,1,4,5
1,6,2,430,0,1,1,4
5,1,0,242,0,1,1,1
7,3,3,1254,2,1,4,5
4,6,0,226,1,1,1,7
4,0,0,1572,0,1,5,7
7,5,2,1671,2,0,5,8
0,6,3,1429,0,1,4,4
2,4,2,1099,0,1,3,3
8,7,2,303,0,1,1,4
1,7,2,256,2,0,1,4
7,8,1,676,0,2,2,3
7,1,1,1764,0,1,5,5
5,4,2,441,2,2,1,3
6,9,3,1387,0,0,4,11
5,0,1,551,0,2,1,2
5,7,1,240,0,0,1,7
0,9,0,1688,2,0,5,8
5,9,1,530,0,1,1,1
5,8,2,1162,1,0,3,11
7,9,1,222,0,1,1,1
1,7,2,324,0,0,1,8
6,5,3,246,0,1,1,1
1,4,3,637,1,0,2,6
3,0,3,1705,2,1,5,11
7,2,3,347,2,2,1,3
1,0,3,954,2,0,3,6
6,3,2,1394,0,0,4,6
5,2,1,973,0,1,3,3
9,8,3,1960,0,1,6,6
5,7,0,488,0,2,1,2
8,0,0,1014,0,1,3,3
2,0,2,253,2,2,1,3
7,5,1,1241,0,1,4,8
0,3,1,908,0,1,3,3
2,7,0,825,0,0,2,6
1,9,1,810,2,1,2,3
1,7,3,1993,0,2,6,7
3,0,0,295,0,1,1,1
9,6,2,1047,2,1,4,3
2,6,3,359,0,2,1,4
3,2,0,1894,1,0,6,13
5,2,3,628,0,2,2,5
0,1,3,1287,0,1,4,4
5,2,1,1153,0,2,3,4
6,0,2,1624,2,1,5,10
7,3,0,1841,1,2,6,9
5,6,3,310,0,1,1,1
4,6,1,1215,0,1,4,7
1,2,2,1924,1,1,6,8
5,3,0,1929,0,2,6,7
5,1,3,1942,0,2,6,7
9,5,2,1352,0,0,4,6
9,5,0,822,0,1,2,2
1,4,2,836,0,2,2,7
6,1,2,554,2,2,1,3
9,4,2,751,3,0,2,7
4,8,2,1596,0,0,5,7
5,3,3,1377,0,0,4,6
7,2,0,557,0,2,1,5
4,7,3,930,0,0,3,5
9,4,0,265,2,1,1,2
1,2,3,486,0,1,1,1
2,1,3,1751,0,1,5,5
9,0,0,1096,1,1,3,10
9,6,3,1456,3,2,4,12
5,2,0,1483,0,2,4,5
9,3,1,1841,0,2,7,6
0,1,2,1229,0,1,4,7
8,4,2,1333,3,2,4,12
5,7,3,404,2,0,1,4
2,9,3,1478,0,1,4,9
2,3,2,423,0,2,1,2
7,9,2,531,2,0,1,4
0,1,2,1942,1,1,6,12
6,7,0,1805,0,2,6,7
6,1,1,1171,0,2,3,4
3,9,2,1013,0,2,3,6
3,6,1,1468,0,2,4,10
9,5,3,1475,2,1,4,5
6,7,2,388,3,1,1,4
4,7,0,1868,3,2,6,13
5,2,0,1112,0,1,3,3
6,0,1,274,2,1,1,2
4,5,1,1157,2,1,3,4
4,3,1,757,0,1,2,5
4,1,0,1754,0,2,5,6
0,2,3,780,0,1,2,6
6,2,0,1098,0,1,3,3
3,4,2,1983,0,0,6,10
4,0,1,1746,0,2,5,6
8,7,1,645,0,0,2,8
2,6,3,963,0,1,3,3
6,2,0,844,0,1,2,7
3,1,2,1656,1,2,5,8
6,2,0,1357,0,2,4,8
2,6,2,424,0,2,1,2
9,4,1,354,0,2,1,7
5,8,0,700,2,1,2,6
4,5,2,1675,1,2,5,8
9,5,0,1155,2,0,3,11
1,4,1,1625,2,0,5,8
9,0,2,1028,2,2,3,5
9,8,3,924,0,1,3,3
8,1,3,637,0,1,2,2
7,1,3,1902,0,1,6,8
3,6,2,313,2,2,1,3
0,6,3,1526,0,1,5,8
5,8,2,650,0,1,2,6
1,8,1,321,0,1,1,1
5,2,1,1157,0,2,3,4
4,1,2,295,0,1,1,1
9,7,0,1696,0,0,5,12
7,4,0,1343,0,1,4,4
2,6,0,1445,0,1,4,4
9,5,0,1832,2,2,6,8
0,5,3,251,0,1,1,6
9,4,1,534,0,2,1,2
6,2,0,1475,0,1,4,9
0,3,1,577,1,2,1,4
5,2,0,1991,0,0,6,8
7,6,0,563,0,1,1,6
5,4,2,1192,0,2,3,4
7,8,0,1391,1,2,4,7
8,4,3,1994,2,1,6,11
1,2,0,369,1,0,1,5
3,8,2,687,0,0,2,4
6,1,1,464,0,2,1,2
0,9,2,1225,0,1,4,4
1,3,3,1098,0,1,3,3
2,5,3,380,0,0,1,7
2,4,0,1490,0,0,4,6
4,3,2,1750,2,0,5,8
3,2,3,311,2,0,1,4
2,8,1,1543,0,1,5,7
6,7,0,212,0,2,1,2
3,8,3,544,0,2,1,2
6,0,0,1712,0,1,5,5
9,5,3,423,0,1,1,1
1,4,1,1815,2,0,6,9
7,8,0,1701,3,1,5,8
6,0,3,488,0,1,1,5
0,2,3,968,0,2,3,4
4,1,1,1365,0,1,4,4
7,3,0,1986,0,1,6,8
8,6,0,1390,0,2,4,5
2,3,0,1987,0,0,6,8
0,6,2,721,0,1,2,2
3,0,0,1240,0,1,4,4
7,1,0,866,3,0,2,12
5,7,2,1898,0,0,6,12
4,8,0,843,0,2,2,3
6,8,0,1509,0,1,5,9
4,6,1,1550,0,2,5,6
4,2,0,528,0,1,1,1
0,8,3,1859,1,2,6,9
6,2,0,1881,0,1,6,6
5,3,3,238,0,2,1,4
7,8,3,1879,0,1,6,6
2,5,1,261,0,1,1,1
8,4,2,1914,0,1,6,6
9,5,1,1714,0,2,5,9
3,0,3,1639,2,0,5,10
9,2,1,1007,0,1,3,3
9,7,2,1657,0,1,5,5
4,3,1,1282,0,0,4,6
9,5,1,1416,0,2,4,5
8,2,0,1470,1,1,4,6
2,7,3,909,0,2,3,4
9,3,2,316,0,1,1,1
7,2,3,1725,0,1,5,9
2,6,3,1245,0,2,4,5
4,1,3,1754,0,0,5,7
0,4,1,1151,0,1,3,3
6,7,2,587,2,1,1,2
8,6,1,768,0,2,2,8
0,5,3,1873,0,0,6,8
9,5,3,1092,0,1,3,7
4,6,0,1498,0,2,4,5
0,3,0,884,0,1,2,6
6,7,3,1321,0,2,4,5
0,6,1,215,0,1,1,1
0,3,1,1708,0,1,5,5
7,2,2,911,3,0,3,8
2,1,0,205,0,0,1,3
4,9,2,1294,0,1,4,8
7,5,0,1108,0,2,3,4
7,2,2,772,0,2,2,5
6,9,3,1681,0,2,5,6
8,7,0,1128,0,2,3,4
9,1,3,1877,0,0,6,8
9,5,1,1399,0,1,4,6
7,2,0,716,0,2,2,3
0,2,2,1663,0,1,5,5
0,9,3,456,0,2,1,2
2,1,1,1244,0,1,4,7
8,4,0,1728,2,2,5,7
4,6,2,1786,0,1,5,9
4,0,2,968,0,2,3,4
5,9,2,453,0,1,1,1
0,2,1,1605,0,1,5,5
6,9,0,586,0,0,1,3
6,9,1,1611,0,2,5,6
5,2,2,668,0,2,2,5
0,5,3,361,1,1,1,7
8,2,2,925,0,1,3,3
3,1,2,1120,2,0,3,6
2,5,3,1845,1,0,6,10
8,3,2,962,1,1,5,3
7,5,3,1843,0,2,6,7
2,7,3,1042,0,1,3,3
2,9,0,1647,0,2,5,11
8,6,0,1269,0,1,4,9
7,8,0,1209,0,1,4,4
4,7,1,1640,2,1,5,6
1,6,3,415,2,0,1,4
0,4,0,879,0,1,2,2
0,9,3,1100,0,2,3,4
4,7,0,1059,0,1,3,3
2,4,2,1196,0,2,3,4
1,0,0,1758,0,0,5,7
1,8,0,521,1,1,1,5
9,8,2,1077,2,1,3,4
0,6,1,669,0,1,2,7
8,3,3,1747,2,1,5,10
9,7,1,1446,3,1,4,10
1,3,0,1203,2,0,4,7
5,8,2,1146,0,2,3,4
8,4,0,881,0,1,2,2
8,9,0,1191,3,1,3,6
4,5,1,1255,0,1,4,8
0,1,3,1244,0,1,4,4
0,7,2,753,0,1,2,2
2,3,0,451,0,2,1,2
3,9,2,1687,3,1,5,8
6,8,2,1323,0,1,4,4
4,6,3,845,0,1,2,4
2,9,0,750,0,1,2,2
1,6,1,569,0,1,1,4
5,3,2,1299,0,1,4,4
5,2,2,567,0,1,1,1
3,6,0,1342,0,0,4,6
8,1,1,317,0,2,1,2
9,4,1,1889,0,1,6,10
9,1,3,441,2,2,1,3
4,5,3,1319,2,1,4,5
0,8,0,1086,3,1,3,10
0,1,3,323,0,1,1,3
3,5,3,920,0,2,3,4
8,1,2,413,0,0,1,3
3,8,2,1904,0,2,6,7
5,9,0,1950,0,1,6,6
7,5,3,1885,0,1,6,6
9,6,2,1346,0,1,4,4
1,7,1,1468,0,2,4,5
5,9,1,1111,2,0,3,6
3,8,3,981,2,0,3,6
4,8,2,1678,0,1,5,7
0,9,3,1411,0,1,4,4
9,1,2,1011,2,2,3,5
7,3,2,714,0,2,2,3
6,9,0,1595,0,1,5,9
5,1,1,1831,0,1,6,9
1,7,2,396,0,1,1,6
8,5,3,1451,0,0,4,6
9,4,3,403,3,1,1,4
9,6,3,1671,0,2,5,10
6,9,1,424,0,1,1,1
0,7,3,577,0,2,1,5
0,6,3,1684,0,2,5,8
4,2,2,1716,3,1,5,8
6,8,2,958,2,0,6,3
6,5,1,1738,1,1,5,7
6,1,0,1114,0,1,3,3
5,3,3,1078,3,1,3,6
9,5,0,678,0,2,2,3
1,6,0,1869,0,1,6,6
3,8,2,1404,0,0,4,9
8,3,0,1653,0,1,5,5
8,5,1,1647,0,1,5,5
9,5,0,1552,0,2,6,5
5,1,1,1630,0,2,5,6
3,7,2,1668,0,2,5,6
4,3,1,1355,0,2,4,9
7,5,2,1056,0,1,3,3
4,3,2,1427,0,1,4,4
0,2,2,1338,2,2,4,9
8,3,1,1422,1,0,4,8
2,6,3,707,0,0,2,4
6,7,0,626,0,1,2,2
4,9,2,739,0,1,2,2
5,6,3,1942,0,1,6,6
5,3,3,1685,2,0,5,8
7,1,1,1091,2,1,3,4
6,4,2,1466,0,1,4,4
6,8,1,474,0,1,1,1
6,8,2,320,0,2,1,2
9,7,2,661,3,1,2,5
3,0,0,1387,2,1,4,5
1,6,2,723,1,0,2,6
5,2,3,1541,0,2,5,6
3,9,0,1395,0,1,4,9
4,3,2,1318,2,1,4,5
4,9,3,1544,0,1,5,5
4,5,3,1366,2,0,4,9
3,5,1,1711,1,1,5,7
2,6,0,792,0,2,2,3
3,6,0,1045,1,2,3,6
5,0,1,1720,2,2,5,7
8,6,3,1966,0,1,6,6
5,2,0,1562,0,2,5,6
5,6,3,806,2,2,2,8
1,8,2,1708,2,2,5,7
1,7,2,757,0,1,2,2
8,2,1,1744,0,2,5,11
2,7,1,283,0,1,1,1
7,6,2,1102,0,1,3,3
5,8,1,547,0,2,1,2
4,8,3,1431,0,1,4,4
8,5,2,1856,0,1,6,9
8,5,3,290,1,1,1,3
2,3,3,284,0,1,1,1
2,4,0,1625,0,0,5,7
8,5,2,1337,0,2,4,8
2,4,2,617,0,2,2,3
5,9,0,1162,0,2,3,4
8,2,2,523,0,1,1,1
9,8,0,258,1,1,1,3
5,3,3,1870,0,1,6,6
7,0,0,1187,0,2,3,4
4,0,3,1307,0,2,4,5
2,7,2,1486,0,1,4,4
5,0,0,1451,2,0,4,7
6,4,3,302,3,1,1,4
1,6,0,420,0,2,1,2
1,5,1,1046,0,1,3,3
5,4,1,1463,0,2,4,7
0,2,2,1359,0,2,4,5
0,2,0,840,0,1,2,2
2,9,0,1458,0,1,4,4
3,2,0,1511,1,1,5,7
2,5,0,1400,1,2,4,7
7,2,3,1549,3,1,5,8
7,4,2,569,0,1,1,1
8,9,1,1165,1,1,3,5
0,2,3,1558,2,1,5,6
0,2,2,1275,0,2,4,5
5,0,3,685,2,1,2,3
3,1,2,289,2,1,1,2
3,6,0,585,0,1,1,1
3,1,3,1118,0,1,3,7
8,5,3,1225,0,1,4,4
5,8,0,1690,3,0,5,15
4,6,1,929,0,1,3,3
4,7,1,1461,0,1,4,4
6,5,2,929,1,1,3,5
3,5,0,1674,0,2,5,6
4,6,2,1041,0,1,3,3
4,1,3,1850,0,1,6,10
5,0,2,1297,0,2,4,5
8,3,0,1846,0,0,6,8
4,2,2,942,0,2,3,4
3,1,3,1464,0,2,4,5
4,3,0,1570,0,2,5,6
3,1,0,1907,0,0,6,8
0,8,3,924,2,1,3,4
2,4,1,827,0,2,3,2
7,5,2,569,0,1,1,1
7,3,3,463,0,2,1,2
0,1,2,459,0,0,1,3
1,5,0,547,0,2,1,2
1,2,3,1827,0,1,6,6
8,1,2,1528,1,1,5,7
0,2,3,984,0,2,3,4
2,3,0,1482,0,1,4,4
2,6,1,1368,2,2,4,6
3,7,2,251,2,1,1,2
3,9,1,1888,0,1,6,6
8,1,1,959,0,0,3,7
6,1,3,1689,3,1,5,8
3,4,1,1628,0,2,5,6
7,6,3,647,1,2,2,5
5,3,0,1773,0,1,5,5
3,8,3,519,0,1,1,1
8,3,1,765,0,1,2,2
0,4,3,1105,3,1,3,6
8,3,3,1561,0,2,5,6
4,8,3,1407,0,1,4,4
1,8,3,1275,0,1,4,4
3,2,3,1616,2,1,5,6
5,6,2,437,0,1,1,1
4,3,3,1715,0,1,5,10
8,2,1,1618,0,1,5,9
4,7,2,1865,0,0,6,8
3,1,1,919,2,2,3,5
1,5,1,310,0,1,1,1
6,8,0,884,0,1,2,2
5,0,0,926,2,2,3,5
3,0,0,1389,0,2,4,10
8,4,2,934,3,1,3,10
3,1,2,791,0,1,2,4
3,0,3,1974,0,0,6,8
2,8,3,1577,0,1,5,5
9,0,3,1196,0,2,3,4
4,9,1,961,0,0,3,5
9,3,1,1243,0,1,4,4
1,5,3,1874,2,2,6,13
8,6,1,498,0,0,1,3
7,8,2,302,0,1,1,1
9,8,3,975,0,1,3,3
7,3,2,1632,1,1,5,7
6,2,3,752,2,1,2,3
7,3,3,952,0,0,3,9
9,7,2,1552,3,1,5,11
3,7,1,671,0,2,2,5
1,9,2,631,2,1,2,3
4,5,1,975,0,2,3,4
7,6,3,221,0,1,1,5
2,7,2,560,0,1,1,1
1,5,2,1243,0,2,4,9
7,5,0,922,0,2,3,4
2,6,1,458,1,1,1,3
0,6,3,1856,2,1,6,7
4,9,3,1022,0,1,3,6
0,4,3,1789,0,1,5,5
8,9,3,224,0,2,1,2
6,2,1,1149,0,2,3,4
7,6,3,996,0,2,3,8
2,5,0,1934,0,1,6,6
9,0,3,698,0,2,2,3
8,5,3,499,1,2,1,4
7,1,2,217,0,2,1,2
7,6,2,1128,0,2,3,4
0,6,2,1518,0,1,5,5
1,9,2,1373,0,2,4,5
0,7,2,1147,0,1,3,3
4,5,0,1887,2,0,6,9
0,3,2,1206,0,0,4,9
7,1,3,583,0,1,1,1
8,2,1,1260,0,0,4,6
0,9,1,1005,0,1,3,3
1,2,2,1756,2,1,5,6
6,0,0,563,0,1,1,1
4,5,3,1280,1,2,4,7
2,8,2,1322,0,1,4,4
8,4,3,652,0,1,2,2
2,5,2,622,2,1,2,3
2,6,0,319,0,2,1,2
7,8,0,1129,0,2,3,4
7,6,3,1210,0,2,4,5
6,8,3,904,0,0,3,5
6,7,3,445,2,0,1,4
6,0,2,1052,0,1,3,3
8,3,3,1701,2,2,5,7
4,9,2,1489,0,0,4,6
0,1,2,1942,0,2,6,7
7,3,2,787,0,2,2,8
1,0,0,1572,0,1,5,9
1,4,1,1498,0,1,4,4
8,6,1,820,2,1,2,3
4,5,1,1825,0,1,6,6
3,9,2,1227,0,1,4,7
9,8,3,1673,0,1,5,5
5,1,2,1602,0,0,5,7
0,1,3,1052,0,2,3,6
2,8,1,901,0,1,3,7
5,2,0,1987,0,1,6,6
0,7,2,497,0,2,1,2
4,8,1,1311,0,1,4,4
6,3,0,1097,0,1,3,3
7,4,2,1182,0,2,3,4
6,8,0,438,0,0,1,3
4,3,1,1477,2,2,4,6
0,5,0,1670,0,1,5,5
2,7,0,357,1,1,1,3
9,1,1,1040,0,0,3,5
6,9,2,1153,0,1,3,3
2,1,1,1507,0,2,5,6
9,8,0,1256,0,1,4,4
3,7,1,1006,0,2,3,4
0,4,1,934,0,2,3,4
3,4,1,1268,2,1,4,5
3,4,3,1039,0,1,3,3
8,5,2,1680,0,1,5,5
8,7,0,1792,1,1,5,7
6,1,2,1580,0,1,5,5
6,1,1,789,2,2,2,4
4,1,3,638,0,1,4,2
6,0,2,1034,0,2,3,4
1,5,0,203,0,2,1,2
2,3,2,921,0,0,3,5
3,7,3,1836,2,2,6,8
3,0,1,1732,0,1,5,5
4,5,3,1827,1,2,6,9
4,2,1,1790,0,2,5,6
2,0,2,1312,0,1,4,8
4,5,0,1988,0,1,6,6
8,6,3,277,0,1,1,1
3,8,1,1962,0,2,6,12
0,2,2,1723,0,2,5,10
3,8,1,711,0,2,2,3
5,3,3,297,0,2,1,2
3,9,1,1959,2,1,6,7
0,7,2,1197,0,1,3,6
8,0,0,1750,0,1,5,5
8,4,1,372,3,1,1,4
8,1,0,968,3,1,3,8
3,5,0,891,1,2,2,5
8,6,3,1600,0,1,5,5
0,4,2,1372,0,1,4,4
7,5,1,924,0,0,3,5
9,3,1,1633,2,2,5,7
4,7,0,483,0,1,1,1
5,9,2,1972,0,2,6,9
8,2,0,1233,0,1,4,4
2,7,2,1764,1,1,5,12
9,3,2,1415,0,1,4,6
7,3,1,246,0,2,1,2
7,1,0,767,0,1,2,2
5,7,1,978,0,0,3,5
3,8,3,1998,0,0,6,8
8,6,1,1073,3,1,3,6
0,6,3,1606,0,2,5,6
6,9,3,1373,2,2,4,6
6,4,3,921,1,2,3,6
6,9,0,1808,0,1,6,6
4,7,1,517,3,0,1,6
4,3,3,1353,0,2,4,5
4,9,1,516,0,2,1,2
6,3,2,1854,2,0,6,13
7,6,3,589,1,0,1,7
7,8,1,488,0,1,1,1
5,2,1,774,0,1,2,2
8,5,1,1993,0,2,6,12
5,3,1,1608,0,0,5,7
0,3,0,927,0,2,3,6
2,0,1,867,0,2,2,6
3,5,0,282,0,1,1,1
9,8,3,1995,1,2,6,9
